"cell_chembl_id","cell_description","cell_id","cell_name","cell_source_organism","cell_source_tax_id","cell_source_tissue","cellosaurus_id","cl_lincs_id","clo_id","efo_id"
"CHEMBL3307761","Panc203 (Pancreatic carcinoma cells)","777","Panc203","Homo sapiens","9606","Pancreatic carcinoma cells","CVCL_1633","","CLO_0008374",""
"CHEMBL3308452","Hs 683 (Glioma cells)","778","Hs 683","Homo sapiens","9606","Glioma cells","CVCL_0844","LCL-1402","CLO_0004046",""
"CHEMBL3307762","B16-F10 (Melanoma cells)","779","B16-F10","Mus musculus","10090","Melanoma cells","CVCL_0159","","CLO_0001794",""
"CHEMBL3307763","Cortical neurones","780","Cortical neurones","Rattus norvegicus","10116","Cortical neurones","","","",""
"CHEMBL3307764","R2-CCRF-CEM (Lymphoblastic leukemia)","781","R2-CCRF-CEM","Homo sapiens","9606","Lymphoblastic leukemia","CVCL_S650","","",""
"CHEMBL3308373","MES-SA/DxS (Uterine sarcoma cells)","782","MES-SA/DxS","Homo sapiens","9606","Uterine sarcoma cells","CVCL_2598","","CLO_0007678",""
"CHEMBL3307765","A20 (Sarcoma B-lymphocytes)","783","A20","Mus musculus","10090","Sarcoma B-lymphocytes","CVCL_1940","","CLO_0001564","EFO_0005285"
"CHEMBL3307766","BT-20 (Breast carcinoma cells)","784","BT-20","Homo sapiens","9606","Breast carcinoma cells","CVCL_0178","LCL-1476","CLO_0002041","EFO_0001092"
"CHEMBL3307767","BMEC (Brain microvessel endothelial cells)","785","BMEC","Bos taurus","9913","Brain microvessel endothelial cells","","","",""
"CHEMBL3307768","HT-29 (Colon adenocarcinoma cells)","786","HT-29","Homo sapiens","9606","Colon adenocarcinoma cells","CVCL_0320","LCL-1180","CLO_0004283","EFO_0001193"
"CHEMBL3308453","TK-10 (Renal carcinoma cells)","787","TK-10","Homo sapiens","9606","Renal carcinoma cells","CVCL_1773","","",""
"CHEMBL3308357","Beta-TC3 (Insulinoma cells)","788","Beta-TC3","Mus musculus","10090","Insulinoma cells","CVCL_0172","","CLO_0001932",""
"CHEMBL3308490","BT-549 (Breast ductal carcinoma cells)","789","BT-549","Homo sapiens","9606","Breast ductal carcinoma cells","CVCL_1092","LCL-1310","CLO_0002044","EFO_0001096"
"CHEMBL3307769","M21 (Melanoma cells)","790","M21","Homo sapiens","9606","Melanoma cells","CVCL_D031","","",""
"CHEMBL3307770","Bel-7402 (Hepatoma cells)","791","Bel-7402","Homo sapiens","9606","Hepatoma cells","CVCL_5492","","",""
"CHEMBL3307771","MCF7-DOX (Breast carcinoma cells)","792","MCF7-DOX","Homo sapiens","9606","Breast carcinoma cells","","","",""
"CHEMBL3307772","TRAMP-C1A (Prostate carcinoma cells)","793","TRAMP-C1A","Mus musculus","10090","Prostate carcinoma cells","CVCL_H593","","",""
"CHEMBL3307773","MIP (Colon carcinoma cells)","794","MIP","Homo sapiens","9606","Colon carcinoma cells","","","",""
"CHEMBL3307774","Colon carcinoma cells","795","Colon carcinoma cells","Homo sapiens","9606","Colon carcinoma cells","","","",""
"CHEMBL3308381","EOL1 (Eosinophilic cells)","796","EOL1","Homo sapiens","9606","Eosinophilic cells","CVCL_0258","","CLO_0002933",""
"CHEMBL3307775","A-427 (Lung carcinoma cells)","797","A-427","Homo sapiens","9606","Lung carcinoma cells","CVCL_1055","LCL-1600","CLO_0001590","EFO_0002104"
"CHEMBL3308454","B16 (Melanoma cells)","798","B16","Mus musculus","10090","Melanoma cells","CVCL_F936","","",""
"CHEMBL3308351","COS-1 (Kidney cells)","799","COS-1","Chlorocebus aethiops","9534","Kidney cells","CVCL_0223","","CLO_0002596",""
"CHEMBL3308508","J82 (Bladder carcinoma cells)","800","J82","Homo sapiens","9606","Bladder carcinoma cells","CVCL_0359","LCL-1714","CLO_0007006","EFO_0002210"
